,lat,lon,city,style,building_type,cooling_type,heating_type,price,number_of_beds,number_of_baths,extra_space,fire_place
435,43.87982,-78.9421751,Whitby,Townhouse,Row / Townhouse,Central air conditioning,Forced air,799898.0,3,4,0,0
436,43.835765,-79.090576,Pickering,Detached,House,Central air conditioning,Forced air,799000.0,3,2,1,0
437,42.949626,-81.340963,London,Detached,House,Central air conditioning,Forced air,799000.0,4,4,1,0
438,42.2450635,-83.0606534,LaSalle,Semi-Detached,Row / Townhouse,Central air conditioning,Forced air,798888.0,2,2,0,0
439,42.418259,-82.202405,Chatham,Detached,House,Central air conditioning,Forced air,787700.0,3,2,0,0
440,42.28382,-82.997089,Windsor,Semi-Detached,Row / Townhouse,Central air conditioning,Forced air,779900.0,2,3,1,0
441,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,779000.0,4,3,0,1
443,44.7546878,-79.51491635139335,Severn,Detached,House,Wall unit,Baseboard heaters,749900.0,4,1,0,1
444,44.7612581,-75.738843,North Augusta,Detached,House,None,Forced air,749000.0,3,3,1,0
445,44.190608,-78.46896060471727,Cavan-Monaghan,Detached,House,Central air conditioning,Forced air,739900.0,3,2,0,1
446,45.2573172,-75.3583264,Russell,Detached,House,Central air conditioning,Forced air,725000.0,3,2,0,1
447,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,720000.0,3,2,0,0
448,44.376812,-79.470068,Georgina,Detached,House,Central air conditioning,Forced air,699999.0,3,3,1,1
449,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,699900.0,4,3,0,0
450,45.4208777,-75.6901106,Ottawa,Semi-Detached,House,Central air conditioning,Forced air,699900.0,3,3,0,1
451,42.246782,-82.992243,Windsor,Detached,House,Central air conditioning,Forced air,699900.0,4,3,1,0
452,43.447436,-79.666672,Oakville,Townhouse,Row / Townhouse,Central air conditioning,Forced air,699900.0,2,2,0,0
453,45.2584251,-75.9206131,Stittsville,Detached,House,Central air conditioning,Forced air,699888.0,3,4,0,1
454,43.87982,-78.9421751,Whitby,Townhouse,Row / Townhouse,Central air conditioning,Forced air,699000.0,3,2,0,0
455,44.056258,-79.461708,Newmarket,Semi-Detached,House,Central air conditioning,Forced air,698800.0,3,2,1,0
456,44.2344356,-79.8063686586334,Essa,Semi-Detached,House,Central air conditioning,Forced air,679900.0,3,4,0,0
457,42.246782,-82.992243,Windsor,Detached,House,Central air conditioning,Forced air,679900.0,3,2,0,1
458,45.4208777,-75.6901106,Ottawa,Townhouse,Row / Townhouse,Central air conditioning,Forced air,679000.0,3,3,0,1
459,45.4208777,-75.6901106,Ottawa,Townhouse,Row / Townhouse,Central air conditioning,Forced air,669900.0,3,3,0,1
460,45.4208777,-75.6901106,Ottawa,Semi-Detached,House,Central air conditioning,Forced air,659900.0,3,3,0,0
461,43.3600536,-80.3123023,Cambridge,Detached,House,Central air conditioning,Forced air,649900.0,3,2,0,0
462,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,649000.0,2,2,1,0
463,43.451291,-80.4927815,Kitchener,Townhouse,Row / Townhouse,Central air conditioning,Forced air,645000.0,2,3,0,0
464,45.4208777,-75.6901106,Ottawa,Semi-Detached,House,Central air conditioning,Forced air,639000.0,2,2,1,1
465,45.4208777,-75.6901106,Ottawa,Townhouse,Row / Townhouse,Central air conditioning,Forced air,625000.0,1,2,1,0
466,43.3600536,-80.3123023,Cambridge,Detached,House,Central air conditioning,Forced air,621000.0,3,1,0,0
467,43.8975558,-78.8635324,Oshawa,Detached,House,Window air conditioner,Forced air,600000.0,2,2,0,0
468,46.49272,-80.991211,Greater Sudbury,Detached,House,"Air exchanger, Central air conditioning",Forced air,599900.0,3,3,0,0
469,42.2450635,-83.0606534,LaSalle,Detached,House,Central air conditioning,Forced air,599900.0,3,4,0,1
470,43.96868585,-78.65135738273909,Clarington,Townhouse,Row / Townhouse,Central air conditioning,Forced air,599900.0,2,2,0,0
471,43.1065603,-79.0639039,Niagara Falls,Detached,House,Central air conditioning,Forced air,589500.0,4,1,0,0
474,42.0378963,-82.7396606,Kingsville,Detached,House,Central air conditioning,Forced air,549000.0,3,2,0,0
475,45.433515,-76.3543692,Arnprior,Detached,House,Central air conditioning,Forced air,525000.0,3,2,0,0
476,45.8984286,-77.2826645,Petawawa,Detached,House,Central air conditioning,Forced air,525000.0,3,2,1,0
477,45.1403366,-76.1465672,Carleton Place,Detached,House,Central air conditioning,Forced air,514900.0,3,2,0,0
480,46.48338,-80.84973,Coniston,Detached,House,Central air conditioning,Forced air,499900.0,3,2,0,0
482,42.331405,-82.942044,Windsor,Detached,House,Central air conditioning,Forced air,499900.0,3,2,1,0
483,43.727832,-79.344634,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,499900.0,3,2,0,0
484,45.4208777,-75.6901106,Ottawa,Townhouse,Row / Townhouse,Central air conditioning,Forced air,499000.0,3,3,0,0
485,45.1332585,-75.7165345,North Gower,Detached,House,Wall unit,"Hot water radiator heat, Radiant heat",499000.0,2,2,0,0
486,45.4208777,-75.6901106,Ottawa,Detached,House,Window air conditioner,Forced air,499000.0,2,1,0,0
487,42.295477,-83.053394,Windsor,Detached,House,Central air conditioning,Forced air,489900.0,3,1,0,0
488,46.10347,-80.550384,Alban,Detached,House,Central air conditioning,"Forced air, Wood Stove",460000.0,5,2,0,0
489,43.8975558,-78.8635324,Oshawa,Detached,House,Central air conditioning,Forced air,449900.0,3,1,0,0
490,45.4720417,-76.6838617,Renfrew,Townhouse,Row / Townhouse,Central air conditioning,Forced air,445000.0,2,1,0,0
491,42.418259,-82.202405,Chatham,Detached,House,Central air conditioning,Forced air,444900.0,3,2,1,0
492,42.0531166,-82.5996998,Leamington,Townhouse,Row / Townhouse,Heat Pump,"Baseboard heaters, Heat Pump",439900.0,2,2,0,0
493,45.274101,-75.27935,Embrun,Detached,House,Wall unit,Radiant heat,439900.0,2,1,0,0
494,45.274101,-75.27935,Embrun,Detached,House,Wall unit,Radiant heat,439900.0,2,1,0,0
495,45.274101,-75.27935,Embrun,Detached,House,Wall unit,Radiant heat,429900.0,2,1,0,0
496,45.274101,-75.27935,Embrun,Detached,House,Wall unit,Radiant heat,429900.0,2,1,0,0
497,42.1744783,-82.8215468,Essex,Detached,House,Central air conditioning,Forced air,424900.0,3,2,0,0
498,46.5521017,-81.1148103,Azilda,Detached,House,Central air conditioning,Boiler,399900.0,5,2,0,0
499,45.3112037,-74.6367573,Alexandria,Semi-Detached,House,Central air conditioning,Forced air,394900.0,2,2,0,1
502,42.265799,-83.024291,Windsor,Detached,House,Central air conditioning,Forced air,349900.0,3,1,0,0
503,42.295477,-83.053394,Windsor,Detached,House,Central air conditioning,Forced air,299900.0,4,2,0,0
504,42.29533,-83.024461,Windsor,Detached,House,Central air conditioning,Forced air,299000.0,2,1,0,0
